License,Mapped License
(CC-BY-4.0 AND OFL-1.1 AND MIT),(CC-BY-4.0 AND OFL-1.1 AND MIT)
(MIT AND Zlib),(MIT AND Zlib)
0BSD,BSD Zero Clause License
3-Clause BSD License,BSD 3-Clause
Academic Free License (AFL),Academic Free License (AFL)
Apache 2,Apache-2.0
Apache 2.O or EPL 2.0,Apache-2.0
Apache License 2.0,Apache-2.0
Apache Software License,Apache-2.0
Apache-2.0,Apache-2.0
BSD License,BSD 3-Clause
BSD-2,BSD 2-Clause
BSD-2-Clause,BSD 2-Clause
GNU General Public License v2.0,GNU General Public License v2.0
GNU Lesser General Public License v3 (LGPLv3),GNU Lesser General Public License v3 (LGPLv3)
GNU Lesser General Public License v3 or later (LGPLv3+),GNU Lesser General Public License v3 or later (LGPLv3+)
GNU Library or Lesser General Public License (LGPL),GNU Library or Lesser General Public License (LGPL)
ISC,ISC
MIT,MIT License
MIT License,MIT License
Mozilla Public License 2.0 (MPL 2.0),Mozilla Public License 2.0 (MPL 2.0)
PSF,Python Software Foundation License
Public Domain,Public Domain
Python Software Foundation License,Python Software Foundation License
Zope Public License,Zope Public License
